Date,Category1,Category2,Category3,Maker,Sales,Identifier
2010-10-01,Ovens,&,Cooktops,Toshino,3942.0,LFIEXBAPFQ
2010-10-01,Vacuum,Cleaners,null,Hayashida,241.0,GCPKFKSEWG
2010-10-01,Rice,Cookers,null,Toshino,,ECQPIOYXZO
2010-10-01,Dishwashers,null,null,Sugiura,2048.0,KR2Q6QT8PE
2010-10-01,Washers,&,Dryers,Hayashida,812.0,AHJK2FTTBH
2010-10-01,Water,Heaters,null,Furutani,,PF4KB33DVZ
2010-10-01,Vacuum,Cleaners,null,Akaza,375.0,ZBYVQNRPUP
2010-10-01,Rice,Cookers,null,Ikeda,802.0,JYINACMKHE
2010-10-01,Water,Heaters,null,Sugiura,620.0,UPJKNMIDRB
2010-10-01,Televisions,null,null,Okamoto,513.0,HANYALJGGA
2010-10-01,Washers,&,Dryers,Okamoto,2165.0,FUFHZH9WRW
2010-10-01,Refrigerators,null,null,Funami,1267.0,BIBIOOIHA
2010-10-01,Ovens,&,Cooktops,Ikeda,342.0,ZTEIJGNYNC
2010-10-01,Washers,&,Dryers,Kikuma,1309.0,QFY2WV5LUE
2010-10-01,Washers,&,Dryers,Akaza,5972.0,VUQUQMHODG
2010-10-01,Refrigerators,null,null,Akaza,1502.0,XVIOZZOUTN
2010-10-01,Rice,Cookers,null,Furutani,3421.0,ZJZZJNDFOZ
2010-10-01,Air,Conditioners,null,Akaza,1765.0,IVOI4I03JA
2010-10-01,Water,Pumps,null,Funami,18840.0,ZJPMAJIMIT
2010-10-01,Washers,&,Dryers,Shimada,4674.0,RBRMDIXXGL
2010-10-01,Water,Pumps,null,Furutani,9899.0,FVDHIZGQRC
2010-10-01,Vacuum,Cleaners,null,Funami,551.0,VEWPPXWTWS
2010-10-01,Televisions,null,null,Shimada,203.0,GHOAPVUVYL
2010-10-01,Ovens,&,Cooktops,Sugiura,3856.0,LBABGBBMJJ
2010-10-01,Refrigerators,null,null,Nanase,882.0,GQUIAFQIRH
2010-10-01,Vacuum,Cleaners,null,Toshino,417.0,NHXJMH55UY
2010-10-01,Air,Conditioners,null,Funami,1013.0,HWQKLKDVSB
2010-10-01,Ovens,&,Cooktops,Shimada,2052.0,WVJTPVZKAQ
2010-10-01,Televisions,null,null,Katayama,76.0,VZAQLWEGXU
2010-10-01,Refrigerators,null,null,Omuro,7003.0,FUWHINIXUA
2010-10-01,Refrigerators,null,null,Shimada,1716.0,SFCA6H6QNU
2010-10-01,Air,Conditioners,null,Toshino,3359.0,RVFWTWSMNU
2010-10-01,Rice,Cookers,null,Funami,2774.0,YPD6CTR0JA
2010-10-01,Rice,Cookers,null,Akaza,337.0,KSNN8R2CCO
