Date,Category1,Category2,Category3,Maker,Sales,Identifier
2018-01-01,Rice,Cookers,null,Ikeda,1301.0,JYINACMKHE
2018-01-01,Refrigerators,null,null,Akaza,619.0,XVIOZZOUTN
2018-01-01,Televisions,null,null,Kikuma,269.0,FRBLLORNXN
2018-01-01,Vacuum,Cleaners,null,Hayashida,687.0,GCPKFKSEWG
2018-01-01,Washers,&,Dryers,Shimada,841.0,RBRMDIXXGL
2018-01-01,Air,Conditioners,null,Akaza,3575.0,IVOI4I03JA
2018-01-01,Water,Heaters,null,Yoshikawa,410.0,DUVTZNWNAB
2018-01-01,Televisions,null,null,Katayama,5896.0,VZAQLWEGXU
2018-01-01,Dishwashers,null,null,Katayama,770.0,ZWNGQMERMH
2018-01-01,Refrigerators,null,null,Omuro,21890.0,FUWHINIXUA
2018-01-01,Vacuum,Cleaners,null,Hisami,1696.0,VNZSEQOSNP
2018-01-01,Vacuum,Cleaners,null,Akaza,1184.0,ZBYVQNRPUP
2018-01-01,Rice,Cookers,null,Akaza,2010.0,KSNN8R2CCO
2018-01-01,Rice,Cookers,null,Funami,8908.0,YPD6CTR0JA
2018-01-01,Washers,&,Dryers,Akaza,8314.0,VUQUQMHODG
2018-01-01,Dishwashers,null,null,Sugiura,633.0,KR2Q6QT8PE
2018-01-01,Ovens,&,Cooktops,Sugiura,1751.0,LBABGBBMJJ
2018-01-01,Water,Heaters,null,Ikeda,501.0,AHSRVKIOLJ
2018-01-01,Refrigerators,null,null,Nanase,935.0,GQUIAFQIRH
2018-01-01,Televisions,null,null,Okamoto,1680.0,HANYALJGGA
2018-01-01,Ovens,&,Cooktops,Toshino,2467.0,LFIEXBAPFQ
2018-01-01,Vacuum,Cleaners,null,Toshino,384.0,NHXJMH55UY
2018-01-01,Washers,&,Dryers,Kikuma,1709.0,QFY2WV5LUE
2018-01-01,Water,Heaters,null,Omuro,2209.0,POEZMGDXLN
2018-01-01,Televisions,null,null,Shimada,2696.0,GHOAPVUVYL
2018-01-01,Ovens,&,Cooktops,Omuro,20683.0,HWTFIGIXOL
2018-01-01,Ovens,&,Cooktops,Ikeda,371.0,ZTEIJGNYNC
2018-01-01,Washers,&,Dryers,Okamoto,686.0,FUFHZH9WRW
2018-01-01,Dishwashers,null,null,Matsumoto,419.0,UPHDCCFDRL
2018-01-01,Air,Conditioners,null,Toshino,7981.0,RVFWTWSMNU
2018-01-01,Air,Conditioners,null,Yoshikawa,9914.0,NTMMOBBPEE
2018-01-01,Water,Pumps,null,Furutani,9878.0,FVDHIZGQRC
2018-01-01,Refrigerators,null,null,Funami,1352.0,BIBIOOIHA
2018-01-01,Vacuum,Cleaners,null,Funami,954.0,VEWPPXWTWS
2018-01-01,Ovens,&,Cooktops,Shimada,1856.0,WVJTPVZKAQ
2018-01-01,Water,Heaters,null,Furutani,2643.0,PF4KB33DVZ
2018-01-01,Water,Heaters,null,Sugiura,1548.0,UPJKNMIDRB
2018-01-01,Rice,Cookers,null,Furutani,11189.0,ZJZZJNDFOZ
2018-01-01,Water,Pumps,null,Funami,21935.0,ZJPMAJIMIT
2018-01-01,Air,Conditioners,null,Funami,3630.0,HWQKLKDVSB
2018-01-01,Rice,Cookers,null,Matsumoto,3004.0,TJLYGOSEBQ
2018-01-01,Water,Pumps,null,Yoshikawa,842.0,TLSY3MWMK8
2018-01-01,Water,Pumps,null,Ikeda,3792.0,VYD6DV2OVE
2018-01-01,Washers,&,Dryers,Hayashida,1263.0,AHJK2FTTBH
2018-01-01,Dishwashers,null,null,Nanase,2880.0,AVXSMNNRDX
2018-01-01,Dishwashers,null,null,Ikeda,294.0,HO4RC4RTDS
2018-01-01,Refrigerators,null,null,Hisami,523.0,MXC7NMNBIW
2018-01-01,Rice,Cookers,null,Toshino,7623.0,ECQPIOYXZO
2018-01-01,Refrigerators,null,null,Yoshikawa,6945.0,UG2IU3EFWI
2018-01-01,Ovens,&,Cooktops,Akaza,755.0,PHFB77Q5OA
2018-01-01,Refrigerators,null,null,Shimada,3343.0,SFCA6H6QNU
2018-01-02,Ovens,&,Cooktops,Sugiura,1759.0,LBABGBBMJJ
2018-01-02,Rice,Cookers,null,Funami,9078.0,YPD6CTR0JA
2018-01-02,Vacuum,Cleaners,null,Toshino,382.0,NHXJMH55UY
2018-01-02,Refrigerators,null,null,Funami,1328.0,BIBIOOIHA
2018-01-02,Washers,&,Dryers,Okamoto,685.0,FUFHZH9WRW
2018-01-02,Air,Conditioners,null,Toshino,7858.0,RVFWTWSMNU
2018-01-02,Dishwashers,null,null,Nanase,3024.0,AVXSMNNRDX
2018-01-02,Ovens,&,Cooktops,Ikeda,384.0,ZTEIJGNYNC
2018-01-02,Dishwashers,null,null,Matsumoto,411.0,UPHDCCFDRL
2018-01-02,Water,Heaters,null,Furutani,2624.0,PF4KB33DVZ
2018-01-02,Water,Pumps,null,Funami,22981.0,ZJPMAJIMIT
2018-01-02,Water,Heaters,null,Omuro,2186.0,POEZMGDXLN
2018-01-02,Ovens,&,Cooktops,Toshino,2504.0,LFIEXBAPFQ
2018-01-02,Refrigerators,null,null,Nanase,910.0,GQUIAFQIRH
2018-01-02,Dishwashers,null,null,Sugiura,640.0,KR2Q6QT8PE
2018-01-02,Ovens,&,Cooktops,Omuro,20463.0,HWTFIGIXOL
2018-01-02,Ovens,&,Cooktops,Shimada,1883.0,WVJTPVZKAQ
2018-01-02,Rice,Cookers,null,Matsumoto,3293.0,TJLYGOSEBQ
2018-01-02,Washers,&,Dryers,Kikuma,1697.0,QFY2WV5LUE
2018-01-02,Air,Conditioners,null,Yoshikawa,9752.0,NTMMOBBPEE
2018-01-02,Rice,Cookers,null,Akaza,2114.0,KSNN8R2CCO
2018-01-02,Refrigerators,null,null,Hisami,516.0,MXC7NMNBIW
2018-01-02,Televisions,null,null,Shimada,2608.0,GHOAPVUVYL
2018-01-02,Water,Heaters,null,Ikeda,493.0,AHSRVKIOLJ
2018-01-02,Rice,Cookers,null,Furutani,11170.0,ZJZZJNDFOZ
2018-01-02,Televisions,null,null,Okamoto,1731.0,HANYALJGGA
2018-01-02,Water,Pumps,null,Yoshikawa,818.0,TLSY3MWMK8
2018-01-02,Water,Pumps,null,Ikeda,3681.0,VYD6DV2OVE
2018-01-02,Refrigerators,null,null,Shimada,3141.0,SFCA6H6QNU
2018-01-02,Dishwashers,null,null,Katayama,795.0,ZWNGQMERMH
2018-01-02,Air,Conditioners,null,Funami,3633.0,HWQKLKDVSB
2018-01-02,Dishwashers,null,null,Ikeda,301.0,HO4RC4RTDS
2018-01-02,Refrigerators,null,null,Akaza,607.0,XVIOZZOUTN
2018-01-02,Vacuum,Cleaners,null,Hayashida,685.0,GCPKFKSEWG
2018-01-02,Water,Pumps,null,Furutani,10257.0,FVDHIZGQRC
2018-01-02,Refrigerators,null,null,Omuro,21904.0,FUWHINIXUA
2018-01-02,Water,Heaters,null,Yoshikawa,401.0,DUVTZNWNAB
2018-01-02,Refrigerators,null,null,Yoshikawa,7103.0,UG2IU3EFWI
2018-01-02,Air,Conditioners,null,Akaza,3581.0,IVOI4I03JA
2018-01-02,Washers,&,Dryers,Hayashida,1252.0,AHJK2FTTBH
2018-01-02,Rice,Cookers,null,Toshino,7542.0,ECQPIOYXZO
2018-01-02,Televisions,null,null,Kikuma,266.0,FRBLLORNXN
2018-01-02,Washers,&,Dryers,Shimada,832.0,RBRMDIXXGL
2018-01-02,Ovens,&,Cooktops,Akaza,758.0,PHFB77Q5OA
2018-01-02,Televisions,null,null,Katayama,5866.0,VZAQLWEGXU
2018-01-02,Washers,&,Dryers,Akaza,8178.0,VUQUQMHODG
2018-01-02,Rice,Cookers,null,Ikeda,1344.0,JYINACMKHE
2018-01-02,Water,Heaters,null,Sugiura,1561.0,UPJKNMIDRB
2018-01-02,Vacuum,Cleaners,null,Funami,944.0,VEWPPXWTWS
2018-01-02,Vacuum,Cleaners,null,Hisami,,VNZSEQOSNP
2018-01-02,Vacuum,Cleaners,null,Akaza,1158.0,ZBYVQNRPUP
2018-01-03,Water,Heaters,null,Ikeda,498.0,AHSRVKIOLJ
